location	year	indigenous cases	total p. falciparum	total p. vivax	total mixed cases	total other cases	imported cases	total introduced cases
Cabo Verde	2010	47	47	NA	NA	NA	NA	NA
Cabo Verde	2011	7	7	NA	NA	NA	29	NA
Cabo Verde	2012	1	1	NA	NA	NA	35	NA
Cabo Verde	2013	22	22	NA	NA	NA	24	NA
Cabo Verde	2014	26	26	NA	NA	NA	20	0
Cabo Verde	2015	7	7	NA	NA	NA	20	0
Cabo Verde	2016	49	49	NA	NA	NA	28	0
Cabo Verde	2017	423	423	NA	NA	NA	23	0
Cabo Verde	2018	2	2	NA	NA	NA	18	1
Cabo Verde	2019	0	0	NA	NA	NA	39	1
Cabo Verde	2020	0	0	NA	NA	NA	10	0
Cabo Verde	2021	0	0	NA	NA	NA	20	1
Equatorial Guinea	2010	53813	53813	NA	NA	NA	NA	NA
Equatorial Guinea	2011	22466	22466	NA	NA	NA	NA	NA
Equatorial Guinea	2012	15169	15169	NA	NA	NA	NA	NA
Equatorial Guinea	2013	16405	16405	NA	NA	NA	NA	NA
Equatorial Guinea	2014	20417	17452	NA	NA	NA	NA	NA
Equatorial Guinea	2015	15142	NA	NA	NA	NA	NA	NA
Equatorial Guinea	2016	147714	NA	NA	NA	NA	NA	NA
Equatorial Guinea	2017	15725	NA	NA	NA	NA	NA	NA
Equatorial Guinea	2018	8962	NA	NA	NA	NA	NA	NA
Equatorial Guinea	2019	25904	NA	NA	NA	NA	NA	NA
Equatorial Guinea	2020	NA	NA	NA	NA	NA	NA	NA
Equatorial Guinea	2021	NA	NA	NA	NA	NA	NA	NA
Eritrea	2010	35982	9785	3989	63	57	NA	NA
Eritrea	2011	34848	10263	4932	94	19	NA	NA
Eritrea	2012	21815	12121	9204	346	0	NA	NA
Eritrea	2013	21317	12482	7361	1391	83	NA	NA
Eritrea	2014	50534	23787	6780	166	35	NA	NA
Eritrea	2015	28036	14510	4780	70	12	NA	NA
Eritrea	2016	24251	20704	2999	543	5	NA	NA
Eritrea	2017	54005	21849	9185	429	23	NA	NA
Eritrea	2018	46440	16553	6108	268	26	NA	NA
Eritrea	2019	93878	75568	15790	2340	180	NA	NA
Eritrea	2020	74041	66600	7119	300	22	NA	NA
Eritrea	2021	43463	37696	5613	120	34	NA	NA
Eswatini	2010	268	87	NA	NA	NA	NA	NA
Eswatini	2011	379	189	NA	NA	NA	170	NA
Eswatini	2012	409	192	NA	NA	NA	153	NA
Eswatini	2013	728	268	NA	NA	1	234	NA
Eswatini	2014	389	389	NA	NA	NA	322	NA
Eswatini	2015	318	318	NA	NA	NA	157	NA
Eswatini	2016	250	250	NA	NA	NA	67	NA
Eswatini	2017	440	440	NA	NA	NA	687	NA
Eswatini	2018	686	686	NA	NA	NA	271	NA
Eswatini	2019	235	235	NA	NA	NA	337	NA
Eswatini	2020	233	233	NA	NA	NA	82	NA
Eswatini	2021	505	505	NA	NA	NA	76	NA
Gambia	2010	116353	64108	NA	NA	NA	NA	NA
Gambia	2011	268020	190379	NA	NA	NA	NA	NA
Gambia	2012	313469	271038	NA	NA	NA	NA	NA
Gambia	2013	242513	240792	NA	NA	NA	NA	NA
Gambia	2014	168256	99976	NA	NA	NA	NA	NA
Gambia	2015	246348	240382	NA	NA	NA	NA	NA
