WHO.region.Country.area		2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Cabo Verde	Indigenous cases	47	7*	1*	22*	26*	7*	49*	423*	2*	0*	0*	0*
	Total P. falciparum	47	7	1	22	26	7	49	423	2	0	0	0
	Total P. vivax												
	Total mixed cases												
	Total other cases												
	Imported cases		29	35	24	20	20	28	23	18	39	10	20
	Total introduced cases					0	0	0	0	1	1	0	1
Equatorial Guinea	Indigenous cases	53,813	22,466	15,169	16,405	20,417	15,142	147,714	15,725	8,962	25,904		
	Total P. falciparum	53,813	22,466	15,169	16,405	17,452							
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Eritrea	Indigenous cases	35,982	34,848	21,815	21,317	50,534	28,036	24,251	54,005	46,440	93,878	74,041	43,463
	Total P. falciparum	9,785	10,263	12,121	12,482	23,787	14,510	20,704	21,849	16,553	75,568	66,600	37,696
	Total P. vivax	3,989	4,932	9,204	7,361	6,780	4,780	2,999	9,185	6,108	15,790	7,119	5,613
	Total mixed cases	63	94	346	1,391	166	70	543	429	268	2,340	300	120
	Total other cases	57	19	0	83	35	12	5	23	26	180	22	34
Eswatini	Indigenous cases	268	379**	409**	728**	389**	318*	250*	440*	686*	235*	233*	505**
	Total P. falciparum	87	189	192	268	389	318	250	440	686	235	233	505
	Total P. vivax												
	Total mixed cases												
	Total other cases				1								
	Imported cases		170	153	234	322	157	67	687	271	337	82	76
Gambia	Indigenous cases	116,353	268,020	313,469	242,513	168,256	246,348	162,739	78,040	87,448	53,386	75,801	77,287
	Total P. falciparum	64,108	190,379	271,038	240,792	99,976	240,382	153,685	69,931	87,448	53,386	75,801	77,287
	Total P. vivax												
	Total mixed cases												
	Total other cases												
Mayotte	Indigenous cases	237***	50***	29***	11**	1*	1*	18*	9*	3*			
	Total P. falciparum	138	38	21	9	1		12					
	Total P. vivax	3	2	2									
	Total mixed cases			4									
	Total other cases												
	Imported cases	236	51	47	71	14	10	10	10	44			
	Total introduced cases							5					
Namibia	Indigenous cases	556	1,525	194	4,775	15,692	9162*	19510*	54268*	30567*	2376*	12331**	12979*
	Total P. falciparum	556	335	194	136	15,692	9,162	19,510	54,268	30,567	2,340	12,331	12,979
	Total P. vivax										6		
	Total mixed cases												
	Total other cases												
	Imported cases						2,888	3,980	11,874	4,021	1,064	1,305	759
Niger	Indigenous cases	642,774	838,585	2,329,260	2,373,591	3,963,768	2,392,108	4,258,110	2,761,268	3,046,450	3,771,451	4,377,938	4,044,707
	Total P. falciparum	601,455	757,449	2,185,060	2,306,354	3,828,486	2,267,867	3,961,178	2,638,580	3,046,450	3,748,155	4,154,337	4,044,707
	Total P. vivax												
	Total mixed cases	17,123	21,370	22,399	46,068	78,102							
	Total other cases						4,133	186,989			23,296		
Senegal	Indigenous cases	330,331	274,119	294,385	366,687	265,624	492,253	349,540	395,706	530652**	354663**	445,313	536,850
	Total P. falciparum	330,331	274,119	294,385	366,687	265,624	492,253	349,540	395,706	530,652	354,663	445,313	536,850
	Total P. vivax												
	Total mixed cases												
	Total other cases												
	Imported cases						0	0	0	292	45	0	0
South Sudan2	Indigenous cases	900,283	112,024	225,371	262,520	71,377	24,371	7,619	1,488,005	98,843	1,903,742	661,922	2,017,227
	Total P. falciparum		112,024	225,371	262,520	71,377	24,371	7,619	1,488,005	3,242	1,902,505	145,954	1,943,519
	Total P. vivax											2,205	43,197
	Total mixed cases												
	Total other cases											3,851	30,511
Togo	Indigenous cases	1,019,029	506,764	909,129	965,832	1,524,339	1,610,711	1,746,334	1,756,582	2,002,877	2,406,091		996,364
	Total P. falciparum	1,018,801	506,741	909,120	965,824	1,524,322	1,610,568	1,746,101	1,756,331	2,002,712	2,402,967		995,655
	Total P. vivax												
	Total mixed cases												
	Total other cases	228	23	9	8	17	143	233	251	165	3,124		709
Belize	Indigenous cases	150	72*	33*	20*	19*	9*	4*	7*	3*	0*	0*	0*
	Total P. falciparum									1	0	0	0
	Total P. vivax	149	72	33	20	19	9	4	5	2	0	0	0
	Total mixed cases	1							2				0
	Total other cases												
	Imported cases		7	4	4	0	4	1	2	4	2	0	0
Bolivia (Plurinational State of)	Indigenous cases	13,769	7,143	7,415	7,342	7,401	6874*	5542*	4572**	5342*	9338*	12180**	9959*
	Total P. falciparum	1,165	370	337	959	325	77	4			31	66	165
	Total P. vivax	12,569	6,756	7,067	6,346	7,060	6,785	5,535	4,572	5,342	9,299	12,107	9,729
	Total mixed cases	35	17	11	37	16	12	3			5	7	65
	Total other cases												
	Imported cases						33	11	15	12	19	7	0
Dominican Republic	Indigenous cases	2,482	1,616	952	473*	459*	631*	690*	341*	433*	1291*	826*	284*
	Total P. falciparum	2,480	1,614	950	473	459	631	690	341	433	1,291	826	284
	Total P. vivax	2	2	2									
	Total mixed cases												
	Total other cases												
	Imported cases				106	37	30	65	57	51	23	3	7
El Salvador1	Indigenous cases	17*	7*	13*	6*	6*	5*	12*	0*	0*	0*	0*	
	Total P. falciparum												
	Total P. vivax	17	7	13	6	6	5	12	0	0	0	0	
	Total mixed cases												
	Total other cases												
	Imported cases	9	8	7	1	2	4	1	3	2	3	0	
French Guiana	Indigenous cases	1632^	1209^	900^	875	448	374**	217**	554**	546	212*	140**	74*
	Total P. falciparum	987^	584^	382^	304	136	61	55	62	49	17	3	1
	Total P. vivax	476^	339^	257^	220	129	194	95	368	496	193	137	72
	Total mixed cases	561	496	381	348	182	119	67	124		0	0	0
	Total other cases	5	5	2	0	1				1	2	0	1
	Imported cases						60	41	43		36	14	37
Haiti	Indigenous cases	84,153	34,350	27,866	26,543	17,696	17,583	21,430	19,135	8,828	10,687	22,996	9,513
	Total P. falciparum	84,153	32,969	25,423	20,957	17,696	17,583	21,430	19,135	8,828	10,687	22,996	9,513
	Total P. vivax	0	0	0	0	0	0	0	0	0	0	0	0
	Total mixed cases	0	0	0	0	0	0	0	0	0	0	0	0
	Total other cases	0	0	0	0	0	0	0	0	0	0	0	0
Peru	Indigenous cases	31,545	25,005	31436^	48719^	65252*	61865*	56623*	55367*	45443*	24324*	15822*	18075*
